nakzen iade etmek,15
yaka ısırmak,11
aça dokuz yorgan örtmüşler yine uyuyamamış,37
deveden büyük fil var,18
acı gelmek,9
cemaatle namaz kılmak,19
ağırlık olmak,12
akıl öğretmek,12
Allah dokuzda verdiğini sekizde almaz,33
Allah vere de,11
açıktan almak,12
alıcı kuşun ömrü az olur,20
üstüne kalmak,12
ağlama ölü için ağla deli için,25
aç kalmak borçlu olmaktan iyidir,28
ağlar gözden sahte sözden kendini sakın,34
akamete uğramak,14
arpa verilmeyen at kamçı zoruyla yürümez,35
ağzından lakırtı almak,20
can alacak nokta,14
Agopun kazı gibi bakmak,20
ağızdan burun yakın kardeşten karın yakın,36
ayaz paşa kol geziyor,18
acıkan ne olsa yer acıyan ne olsa söyler,33
bir göz ağlarken öbür göz gülmez,27
bir mıh bir nal kurtarır bir nal bir at kurtarır,39
bildiğinden şaşmamak,19
nişan koymak,11
cemaziyelevvelini bilmek,23
cinler cirit  oynamak,18
cesaret almak,12
aç gezmektense tok ölmek yeğdir,27
ahmak gelin yengeyi halayığı sanır,30
can damarına basmak,17
altın yerde paslanmaz taş yağmurdan ıslanmaz,39
ağrısız baş mezarda gerek,22
adamın kötüsü olmaz meğer züğürt ola,31
aciz kalmak,10
ağaçtan maşa olmaz,16
akıllı oğlan neyler ata malını akılsız oğlan neyler ata malını,53
açık vermek,10
atın ürkeği yiğidin korkağı,24
açın karnı doyar gözü doymaz,24
aklının terazisi bozulmak,23
altta yok üstte yok,16
babasının hayrına,16
lokmasını saymak,15
bir fit bin büyü yerini tutar,24
ağzıyla içmesini bilmek,21
parasıyla rezil olmak,19
abdestsiz sofuya namaz mı dayanır,29
cephe almak,10
fikir danışmak,13
ağzının suyu akmak,16
ahmağa yüz abdala söz vermeye gelmez,31
adak adamak,10
abdest almak,11
Allah övmüş de yaratmış,20
ağaca balta vurmuşlar sapı bedenimden demiş,38
üstüne sevmek,12
sınırlarını  zorlamak,19
acıkanın yanağından susayanın dudağından belli olur,46
iliğine kadar ıslanmak,20
bir elinin verdiğini öbür  elin duymasın,34
atma Recep din kardeşiyiz,22
üstünden silindir gibi geçmek,26
aç ile dost olayım diyen peşin karnını doyursun,40
anası turp babası şalgam,21
ağı gibi,7
ar ve haya perdesi yırtılmak,24
arı söğüdü akıllı öğüdü sever,25
Allah var,8
ağzına bir kemik atmak,19
adam sen de,9
ağası yiğit olanın etbaı sarhoş gezer,32
baba ekmeği zindan ekmeği koca ekmeği meydan ekmeği,44
benden paso,10
bakmakla usta olunsa köpekler kasap olurdu,37
acısı ortaya çıkmak,17
alt perdeden konuşmak,19
baba malı tez tükenir evlat gerek kazana,34
ağız tamburası çalmak,19
aklına esmek,11
alemin ağzı torba değil ki büzesin,29
abazan kalmak,12
acze düşmek,10
resmiyete dökmek,15
arka planda kalmak,16
abdest bozmak,12
Allahın emri,11
ağlarsa anam ağlar başkası yalan ağlar,33
