Allah verince kimin oğlu kimin kızı demez,35
abdalın dostluğu köy görününceye kadar,34
acele ile yürüyen yolda kalır,25
baba oğluna bir bağ bağışlamış oğul babaya bir salkım üzüm vermemiş,57
elçiye zeval olmaz,16
aş taşınca kepçeye paha olmaz,25
akıllı sözünü akılsıza söyletir,28
ada bana adayım sana,17
alçak eşek binmeye kolay öksüz çocuk dövmeye kolay,43
arpa eken buğday biçmez,20
kadının fendi erkeği yendi,23
attan düşene yorgan döşek eşekten düşene kazma kürek,45
ana ile kız helva ile koz,20
değirmenin suyu nereden geliyor,28
atlar nallanırken kurbağalar ayak uzatmaz,37
ateş olsa cirmi kadar yer yakar,26
babasından mal kalan merteği içinden bitmiş sanır,43
ağır ol da molla desinler,21
ardında yüz köpek havlamayan kurt kurt sayılmaz,41
çıkmadık canda umut var,20
ata arpa yiğide pilav,18
armudu soy ye elmayı say ye,22
ağustosun yarısı yaz yarısı kıştır,30
it iti ısırmaz,12
kılık kıyafet köpeklere ziyafet,28
ata binen nalını mıhını arar,24
abanın kadri yağmurda bilinir,26
umut fakirin  ekmeğidir,20
ağanın gözü yiğidin sözü,21
ağalık  vermekle yiğitlik vurmakla,30
ağanın gözü ata tımardır,21
her zaman gemicinin istediği rüzgâr esmez,36
bir elin nesi var iki elin sesi var,28
aç it fırın duvarını deler,22
çengi ölüsü çalgı  ile kalkar,24
atasını tanımayan Allahını tanımaz,31
ağız yer yüz utanır,16
avrat var arpa unundan aş yapar avrat var buğday unundan keş yapar,55
et kokarsa tuzlanır ya tuz kokarsa ne yapılır,38
aç ile dost olayım diyen peşin karnını doyursun,40
açık ağız aç kalmaz,16
alışmış kursak bulamacını ister,28
edebi edepsizden öğren,20
alet işler el övünür,17
eşeği düğüne çağırmışlar ya su lazımdır ya odun demiş,45
beylik fırın has çıkarır,21
dünyayı sel bassa ördeğe vız gelir,29
borç ödenir kira ödenmez,21
dalmasını bilmeyen ördek kıçından dalar,35
Allahın ondurmadığını peygamber sopa ile kovar,41
alacağım olsun da alakargada olsun,30
dam üstünde saksağan vur beline kazmayı,34
adam adamı bir kere aldatır,23
akıllı oğlan neyler ata malını akılsız oğlan neyler ata malını,53
alçak uçan yüce konar yüce uçan  alçak konar,36
ahmak misafir ev sahibini ağırlar,29
düşmana yarak  gerek ya düşmandan ırak gerek,37
Allah uçamayan kuşa alçacık dal verir,32
ağaç yaprağıyla gürler,20
güzele ne yakışmaz,16
baz bazla kaz kazla kel tavuk topal horozla,36
müft olsun da zift olsun,20
iyi insan sözünün üstüne gelir,26
geçti Borun pazarı,16
bir fincan kahvenin kırk yıl hatırı  vardır,36
gün doğmadan neler doğar,21
keskin zekâ keramete kıç attırır,28
delilsiz cennete bile girilmez,27
arsız neden arlanır çul da giyer sallanır,35
dağ ne kadar yüce olsa yol üstünden aşar,33
Allaha bir can borcu var,20
ağzına bir zeytin verir altına  tulum tutar,36
taş ne kadar ıslanırsa deli o kadar uslanır,36
biri bilmeyen bini hiç bilmez,25
bıçağı kestiren kendi suyu insanı sevdiren kendi huyu,46
hile ile iş gören mihnet ile can verir,31
akıl adama sermayedir,19
atın varken yol tanı ağan varken el tanı,33
bez alırsan Mısırdan  kız alırsan asilden,35
abdal tekkede hacı Mekkede bulunur,30
al malın iyisini çekme kaygısını,28
akarsu pislik tutmaz,18
devletliye dokun geç fukaradan sakın geç,35
avrat var ev yapar avrat var ev yıkar,30
aç gezmektense tok ölmek yeğdir,27
eşkıyanın  düşkünü beyaz  giyer kış günü,33
acele ile menzil alınmaz,21
akıl yaşta değil baştadır,22
başını acemi berbere teslim eden cebinden pamuğu eksik etmez,52
kuşa kafes lazım boruya nefes,25
az tamah çok ziyan getirir,22
akıllı düşününceye kadar deli çocuğunu  everir,40
balı parmağı uzun yemez kısmetlisi yer,33
açtırma kutuyu söyletme kötüyü,27
kırlangıcın zararını biberciden sor,32
rüzgâr eken fırtına biçer,22
aç kurt yavrusunu yer,18
demir ıslanmaz deli uslanmaz,25
ağlama ölü için ağla diri için,25
ağrılardan göz ağrısı her kişinin öz ağrısı,37
at beslenirken kız istenirken,26
ağanın eli tutulmaz,17
aksak eşekle yüksek dağa çıkılmaz,29
korkunun ecele faydası yoktur,26
gönülsüz namaz göğe ağmaz,22
ağanın malı çıkar uşağın canı,25
eceli gelen  köpek cami  duvarına  siyer,32
ah alan onmaz,11
bin tasa bir borç ödemez,20
altın adı pul oldu kız adı dul oldu,28
gafile kelam nafile kelam,22
açın imanı olmaz,14
ağaca çıkan keçinin dala bakan oğlağı olur,36
adamın adı çıkacağına canı çıksın,29
ağır otur ki bey  desinler,21
elden vefa zehirden şifa,21
akşam oldu kon sabah oldu göç,24
ar kadar eri olanın dağ kadar yeri olur,32
bu abdestle daha çok namaz kılınır,29
arslan postunda gönül dostunda,27
akıl para ile satılmaz,19
bir adama kırk gün  ne dersen o olur,28
aklınla rezil olursun aklınla vezir olursun,38
can cümleden aziz,15
atın ölümü arpadan olsun,21
bir mum al da derdine yan,20
ağlarsa anam ağlar başkası  yalan ağlar,33
ak gün ağartır kara gün karartır,27
adam adamdan korkmaz utanır,24
fala inanma falsız kalma,21
beş parmağın hangisini kessen acımaz,32
ak koyunun kara kuzusu da olur,25
bilmemek ayıp değil öğrenmemek  ayıp,31
ana kızına taht kurar kız bahtı kocadan arar,37
âlimden zalim doğar,17
can canın yoldaşıdır,18
arık etten yağlı tirit olmaz,24
dereyi  geçerken at değiştirilmez,29
akı karası geçitte belli olur,25
avrat tuz dedi mi ciğeri cız der,26
açın kursağına çörek dayanmaz,26
ecel geldi cihana baş ağrısı bahane,30
ahlatın iyisini dağda ayılar yer,28
aklına geleni işleme her ağacı taşlama,33
anasına bak kızını al kenarına  bak bezini al,37
acı acıyı keser su sancıyı,22
eden bulur inleyen ölür,20
bağa bak üzüm olsun yemeye yüzün olsun,32
ahbap kusuruna bakan ahbapsız kalır,31
satılık ziftin olsun Selânikten kel gelir,36
ağası yiğit olanın etbaı sarhoş gezer,32
ağır ol batman gel,15
atım tepmez itim kapmaz deme,24
altta kalanın canı çıksın,22
tarlayı koçan zapt etmez saban zapt eder,34
dün cin olmuş bugün adam çarpıyor,28
ata da soy gerek ite de,18
bir abam  var atarım nerede olsam yatarım,34
değirmenden gelenden poğaça umarlar,32
evvela can sonra canan,19
at yedi günde it yediği günde,24
her ziyan bir öğüttür,18
at ölür meydan  kalır yiğit ölür şan  kalır,34
ata eyer gerek eyere er gerek,24
arsızın yüzüne tükürmüşler yağmur yağıyor demiş,42
bir uyuz keçi bir sürüyü boklar,26
aç yanından kaç,13
ya devlet başa ya kuzgun leşe,24
at var meydan yok,14
aç tavuk kendini arpa  ambarında sanır,32
ağası güçlü olanın kulu asi olur,27
akacak kan damarda durmaz,22
avradı eri saklar peyniri deri,26
ağlamakla yâr ele girmez,21
ürüyen köpek ısırmaz,18
deveye burç gerek olursa boynunu uzatır,34
ağaçtan maşa abdaldan paşa olmaz,28
akıllar gelin olmuş herkes kendininkini beğenmiş,43
alçacık eşeğe herkes biner,23
bal tutan parmağını yalar,22
babanın sanatı oğla mirastır,25
atta avratta uğur vardır,21
dervişe Bağdatta pilav var demişler yalan değilse ırak değil demiş,57
ata malı mal olmaz kendin kazanmak gerek,34
bey mi yaman el mi yaman,19
arabanın ön tekerleği nereden geçerse art tekerleği de oradan geçer,58
akın  adı  karanın  tadı,18
deveyi yardan uçuran bir tutam ottur,31
ağaç yaş  iken eğilir,17
açın uykusu gelmez,16
el üstünde gömlek eskimez,22
aç yeri başka acı yeri başka,23
adam adamdır olmasa da pulu eşek eşektir atlastan olsa çulu,50
beyde bulunmayan elde neler var,27
baba malı tez tükenir evlat gerek kazana,34
at ile avrat yiğidin bahtına,24
aklın yolu birdir,15
armudun iyisini  ayılar yer,23
ava gelmez kuş olmaz başa gelmez iş olmaz,34
arı gibi eri olanın dağ kadar yeri olur,32
bir inat bir murat,15
al aslan tutar güç sıçan tutmaz,26
ağır basar yeğni kalkar,20
almadan vermek Allaha mahsus,25
tüccar züğürtleyince eski defterleri karıştırır,43
ak koyunu gören içi dolu yağ sanır,28
aç ne yemez tok ne demez,19
ev sahibi mülk sahibi hani nerede bunun ilk sahibi,42
deveden büyük fil var,18
bağ babadan zeytin dededen kalmalı,30
evimiz bezden ne umarsın bizden,27
çoğu zarar azı karar,17
bir çöplükte iki horoz ötmez,24
aç tokun gözüne bakmakla doymaz,27
aç aman bilmez çocuk zaman bilmez,28
baktın kar havası eve gel kör olası,29
sen zot ben zot ata kim vere ot,24
ağır taş batman döver,18
ağır git ki yol alasın,18
dervişin fikri ne ise zikri de odur,29
bezirgân züğürtleyince geçmiş defterleri yoklar,43
acıklı başta akıl olmaz,20
açın koynunda  ekmek durmaz,23
ağanın gözü öküzü  semiz eder,24
atalar sözünü tutmayanı yabana atarlar,34
armudun önü kirazın sonu,21
sade pirinç zerde olmaz bal gerektir kazana baba malı tez tükenir evlat gerek kazana,71
at bulunur meydan bulunmaz meydan bulunur at bulunmaz,46
hangi rüzgâr attı,15
ata binersen Allahı attan inersen atı unutma,38
bir dirhem et bin ayıp örter,23
ardından sapan taşı yetişmez,25
baş kırılır  fes  içinde kol kırılır yen  içinde,38
at at oluncaya kadar sahibi mat olur,30
ayağını sıcak tut başını serin gönlünü ferah tut düşünme derin,53
aç aç ile yatınca arada dilenci doğar,31
eceli gelen fare kedi taşağı kaşır,29
Azrail gelince oğul uşak sormaz,27
ala keçi her vakit püsküllü oğlak doğurmaz,36
aba vakti yaba yaba vakti aba,24
ağustosta gölge kovan zemheride karnın ovar,38
çıkmadık candan umut kesilmez,26
gözden ırak olan gönülden de ırak olur,32
arayan Mevlasını da bulur belasını da,32
avcı ne kadar hile  bilse ayı o kadar yol bilir,37
akıl olmayınca ne yapsın sakal,26
adamın yere bakanından suyun yavaş akanından kork,43
el elin nesine gülerek gider yasına,30
Allah kulunu kısmeti ile yaratır,28
açlık ile tokluğun arası yarım yufka,31
ağız yemese yüz utanmaz,20
acele işe şeytan karışır,21
artık mal göz çıkarmaz,19
adamın  adı çıkmadansa canı çıkması,30
alçak yer yiğidi hor gösterir,25
aç doymam tok acıkmam sanır,23
it ürür kervan yürür,17
huy canın altındadır,18
almadığın hayvanın kuyruğunu tutma,31
amcamla dayım hepsinden aldım payım,31
at olur meydan olmaz  meydan olur  at olmaz,34
ağır taş yerinden oynamaz,22
ağaç kökünden yıkılır,19
